Epoch	Natural Test Acc	PGD20 Acc	
1.000000	0.226533	0.275800	
2.000000	0.230733	0.283133	
3.000000	0.257333	0.289400	
4.000000	0.268333	0.303533	
5.000000	0.256867	0.304933	
6.000000	0.270067	0.316933	
7.000000	0.248467	0.309400	
8.000000	0.247133	0.329467	
9.000000	0.247200	0.305667	
10.000000	0.266667	0.346667	
11.000000	0.261467	0.343067	
12.000000	0.252600	0.355200	
13.000000	0.253467	0.353733	
14.000000	0.272133	0.340800	
15.000000	0.258600	0.357600	
16.000000	0.251667	0.341800	
17.000000	0.242133	0.346000	
18.000000	0.256733	0.364267	
19.000000	0.264133	0.330467	
20.000000	0.262067	0.352733	
21.000000	0.263267	0.324333	
22.000000	0.250600	0.322333	
23.000000	0.262333	0.347333	
24.000000	0.263533	0.343133	
25.000000	0.245333	0.381667	
26.000000	0.255333	0.360333	
27.000000	0.252267	0.377867	
28.000000	0.241067	0.357800	
29.000000	0.262333	0.356133	
30.000000	0.250067	0.346933	
31.000000	0.250533	0.361467	
32.000000	0.261000	0.376067	
33.000000	0.247067	0.309400	
34.000000	0.251200	0.358400	
35.000000	0.261800	0.331000	
36.000000	0.255933	0.361533	
37.000000	0.275867	0.359400	
38.000000	0.253667	0.359333	
39.000000	0.258133	0.372133	
40.000000	0.268600	0.347333	
41.000000	0.268333	0.316667	
42.000000	0.292533	0.346667	
43.000000	0.272933	0.363800	
44.000000	0.265200	0.362667	
45.000000	0.260333	0.369933	
46.000000	0.249533	0.372800	
47.000000	0.267067	0.353267	
48.000000	0.250000	0.296333	
49.000000	0.265200	0.368267	
50.000000	0.262333	0.376467	
