[2022/05/12 12:29:10] - Namespace(alpha=10, batch_size=32, data_dir='./training_data.npy', delta_init='random', early_stop=True, epochs=80, epsilon=8, loss_scale='1.0', lr_max=0.2, lr_min=0.0, lr_schedule='cyclic', master_weights=False, momentum=0.9, opt_level='O2', out_dir='train_alp_output', seed=0, weight_decay=0.0005)
[2022/05/12 12:29:13] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc 	 Robust Acc
[2022/05/12 12:59:37] - 0 	 1823.4 	 	 0.0050 	 2.4648 	 0.3985 	 0.0625
[2022/05/12 13:31:54] - 1 	 1937.0 	 	 0.0100 	 1.8869 	 0.4449 	 0.0312
[2022/05/12 14:03:52] - 2 	 1917.8 	 	 0.0150 	 1.3427 	 0.5842 	 0.0312
[2022/05/12 14:35:44] - 3 	 1912.0 	 	 0.0200 	 1.0003 	 0.7174 	 0.0938
[2022/05/12 15:07:34] - 4 	 1910.3 	 	 0.0250 	 0.8731 	 0.7637 	 0.0312
[2022/05/12 15:39:18] - 5 	 1904.5 	 	 0.0300 	 0.7692 	 0.7924 	 0.0625
[2022/05/12 16:11:08] - 6 	 1909.2 	 	 0.0350 	 0.8081 	 0.7917 	 0.0312
[2022/05/12 16:43:11] - 7 	 1923.2 	 	 0.0400 	 0.8779 	 0.7520 	 0.0000
[2022/05/12 17:14:42] - 8 	 1890.9 	 	 0.0450 	 0.8545 	 0.7660 	 0.1250
[2022/05/12 17:46:26] - 9 	 1904.5 	 	 0.0500 	 0.8291 	 0.7778 	 0.0312
[2022/05/12 18:18:14] - 10 	 1907.8 	 	 0.0550 	 0.8765 	 0.7667 	 0.0000
[2022/05/12 18:49:59] - 11 	 1905.5 	 	 0.0600 	 0.8555 	 0.7757 	 0.0312
[2022/05/12 19:21:48] - 12 	 1908.9 	 	 0.0650 	 0.8193 	 0.7882 	 0.0312
[2022/05/12 19:53:39] - 13 	 1910.6 	 	 0.0700 	 0.8156 	 0.7934 	 0.0625
