TRYING TO SAVE OPTIMIZER WITH THE MODEL :
----------------------------------------------
    torch.save({
            'epoch': epoch,
            'model_state_dict': best_state_dict,
            'optimizer_state_dict': opt.state_dict(),
            'loss': train_loss/train_n,
            }, os.path.join(args.out_dir, f'model_{epoch}.pth'))



[2022/05/11 12:50:08] - Namespace(alpha=10, batch_size=32, data_dir='./training_data.npy', delta_init='random', early_stop=True, epochs=80, epsilon=8, loss_scale='1.0', lr_max=0.2, lr_min=0.0, lr_schedule='cyclic', master_weights=False, momentum=0.9, opt_level='O2', out_dir='train_fgsm_output', seed=0, weight_decay=0.0005)
[2022/05/11 12:50:10] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc 	 Robust Acc
[2022/05/11 13:06:37] - 0 	 986.6 	 	 0.0050 	 1.6598 	 0.4601 	 0.0312
[2022/05/11 13:23:01] - 1 	 984.3 	 	 0.0100 	 0.9816 	 0.6284 	 0.1250
[2022/05/11 13:39:33] - 2 	 991.8 	 	 0.0150 	 0.7140 	 0.7378 	 0.0938
[2022/05/11 13:51:22] - 3 	 709.1 	 	 0.0200 	 0.6148 	 0.7734 	 0.0312
[2022/05/11 14:01:54] - 4 	 631.7 	 	 0.0250 	 0.5543 	 0.7972 	 0.0938
[2022/05/11 14:12:31] - 5 	 637.1 	 	 0.0300 	 0.6646 	 0.7540 	 0.0625
[2022/05/11 14:23:20] - 6 	 648.8 	 	 0.0350 	 0.6328 	 0.7651 	 0.0938
[2022/05/11 14:33:39] - 7 	 619.4 	 	 0.0400 	 0.7405 	 0.7211 	 0.0000
[2022/05/11 14:44:05] - 8 	 626.3 	 	 0.0450 	 0.8113 	 0.6925 	 0.1250
[2022/05/11 14:54:48] - 9 	 642.8 	 	 0.0500 	 1.0460 	 0.5775 	 0.0312
[2022/05/11 15:08:15] - 10 	 806.7 	 	 0.0550 	 0.8070 	 0.6948 	 0.0625
[2022/05/11 15:20:59] - 11 	 764.3 	 	 0.0600 	 0.7503 	 0.7157 	 0.0312
[2022/05/11 15:33:10] - 12 	 731.0 	 	 0.0650 	 0.7472 	 0.7191 	 0.1562
[2022/05/11 15:43:48] - 13 	 637.4 	 	 0.0700 	 0.7216 	 0.7318 	 0.1562
[2022/05/11 15:57:45] - 14 	 837.7 	 	 0.0750 	 0.8038 	 0.6981 	 0.0938
[2022/05/11 16:11:33] - 15 	 827.4 	 	 0.0800 	 0.8160 	 0.6925 	 0.0000
[2022/05/11 16:27:55] - 16 	 982.6 	 	 0.0850 	 0.9453 	 0.6359 	 0.1875
