[2022/05/20 17:10:42] - Namespace(batch_size=32, data_dir='./training_data.npy', epochs=80, epsilon=8, loss_scale='1.0', lr_max=0.04, lr_min=0.0, lr_schedule='cyclic', master_weights=False, minibatch_replays=8, momentum=0.9, opt_level='O2', out_dir='train_free_output', seed=0, weight_decay=0.0005)
[2022/05/20 17:10:59] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc 	 Robust Acc
[2022/05/20 19:02:04] - 0 	 6664.5 	 	 0.0010 	 1.5868 	 0.5052 	 0.1250
[2022/05/20 20:53:38] - 1 	 6693.2 	 	 0.0020 	 0.2063 	 0.9339 	 0.0625
[2022/05/20 22:46:08] - 2 	 6747.3 	 	 0.0030 	 0.1368 	 0.9556 	 0.1875
[2022/05/21 00:39:24] - 3 	 6792.8 	 	 0.0040 	 0.1048 	 0.9666 	 0.1875
[2022/05/21 02:30:38] - 4 	 6672.0 	 	 0.0050 	 0.1016 	 0.9699 	 0.1875
[2022/05/21 04:18:47] - 5 	 6486.8 	 	 0.0060 	 0.0945 	 0.9733 	 0.0938
[2022/05/21 06:07:36] - 6 	 6527.3 	 	 0.0070 	 0.1322 	 0.9626 	 0.1250
[2022/05/21 07:43:49] - 7 	 5770.4 	 	 0.0080 	 0.1236 	 0.9657 	 0.0000
[2022/05/21 08:51:10] - 8 	 4039.4 	 	 0.0090 	 0.1381 	 0.9602 	 0.1875
[2022/05/21 09:57:54] - 9 	 4002.7 	 	 0.0100 	 0.2057 	 0.9370 	 0.3750
[2022/05/21 11:07:43] - 10 	 4189.0 	 	 0.0110 	 0.2219 	 0.9317 	 0.1250
[2022/05/21 12:19:05] - 11 	 4281.3 	 	 0.0120 	 0.1820 	 0.9450 	 0.0312
[2022/05/21 13:25:53] - 12 	 4006.3 	 	 0.0130 	 0.1956 	 0.9404 	 0.0312
[2022/05/21 14:30:01] - 13 	 3847.8 	 	 0.0140 	 0.1944 	 0.9412 	 0.0938
[2022/05/21 15:42:29] - 14 	 4347.4 	 	 0.0150 	 0.1840 	 0.9457 	 0.3125
[2022/05/21 17:03:58] - 15 	 4887.1 	 	 0.0160 	 0.1732 	 0.9484 	 0.1875
[2022/05/21 18:34:37] - 16 	 5437.7 	 	 0.0170 	 0.1941 	 0.9414 	 0.2188
[2022/05/21 20:07:16] - 17 	 5556.6 	 	 0.0180 	 0.2310 	 0.9293 	 0.0000
[2022/05/21 21:33:00] - 18 	 5143.0 	 	 0.0190 	 0.2329 	 0.9284 	 0.1250
[2022/05/21 22:57:44] - 19 	 5083.0 	 	 0.0200 	 0.2253 	 0.9307 	 0.0938
[2022/05/22 00:22:17] - 20 	 5070.5 	 	 0.0210 	 0.2489 	 0.9230 	 0.1875
[2022/05/22 01:43:57] - 21 	 4898.6 	 	 0.0220 	 0.3525 	 0.8839 	 0.1250
[2022/05/22 03:09:29] - 22 	 5129.9 	 	 0.0230 	 0.2308 	 0.9310 	 0.1875
[2022/05/22 04:35:00] - 23 	 5130.0 	 	 0.0240 	 0.2139 	 0.9344 	 0.1562
[2022/05/22 06:00:23] - 24 	 5121.0 	 	 0.0250 	 0.4402 	 0.8325 	 0.1875
[2022/05/22 07:26:31] - 25 	 5166.7 	 	 0.0260 	 1.5021 	 0.3280 	 0.1562
[2022/05/22 08:53:46] - 26 	 5233.9 	 	 0.0270 	 1.4947 	 0.3344 	 0.1875
[2022/05/22 10:18:48] - 27 	 5100.0 	 	 0.0280 	 1.4973 	 0.3321 	 0.3125
[2022/05/22 11:41:04] - 28 	 4935.1 	 	 0.0290 	 1.4998 	 0.3324 	 0.2188
[2022/05/22 13:03:32] - 29 	 4945.2 	 	 0.0300 	 1.5010 	 0.3306 	 0.2500
[2022/05/22 14:19:40] - 30 	 4567.0 	 	 0.0310 	 1.5109 	 0.3238 	 0.2812
[2022/05/22 15:23:41] - 31 	 3840.4 	 	 0.0320 	 1.5060 	 0.3272 	 0.1250
[2022/05/22 16:23:02] - 32 	 3559.9 	 	 0.0330 	 1.5005 	 0.3340 	 0.3750
[2022/05/22 17:20:56] - 33 	 3473.1 	 	 0.0340 	 1.5039 	 0.3301 	 0.3438
[2022/05/22 18:19:47] - 34 	 3530.0 	 	 0.0350 	 1.5071 	 0.3291 	 0.3750
[2022/05/22 19:17:39] - 35 	 3470.9 	 	 0.0360 	 1.5124 	 0.3237 	 0.1250
[2022/05/22 20:15:21] - 36 	 3460.7 	 	 0.0370 	 1.5148 	 0.3229 	 0.1875
[2022/05/22 21:13:17] - 37 	 3476.0 	 	 0.0380 	 1.5119 	 0.3244 	 0.2188
[2022/05/22 22:11:10] - 38 	 3472.1 	 	 0.0390 	 1.5286 	 0.3137 	 0.3125
[2022/05/22 23:09:06] - 39 	 3475.2 	 	 0.0400 	 1.5205 	 0.3199 	 0.2500
[2022/05/23 00:06:48] - 40 	 3461.6 	 	 0.0390 	 1.5165 	 0.3200 	 0.3125
[2022/05/23 01:04:30] - 41 	 3461.1 	 	 0.0380 	 1.5173 	 0.3215 	 0.1562
[2022/05/23 02:02:24] - 42 	 3472.6 	 	 0.0370 	 1.5171 	 0.3201 	 0.3438
[2022/05/23 03:00:10] - 43 	 3465.6 	 	 0.0360 	 1.5177 	 0.3195 	 0.2188
[2022/05/23 03:57:52] - 44 	 3460.3 	 	 0.0350 	 1.5393 	 0.3075 	 0.4062
[2022/05/23 04:55:49] - 45 	 3476.1 	 	 0.0340 	 1.5434 	 0.3037 	 0.1562
[2022/05/23 05:53:21] - 46 	 3450.8 	 	 0.0330 	 1.5474 	 0.3009 	 0.2500
[2022/05/23 06:35:22] - 47 	 2519.6 	 	 0.0320 	 1.5429 	 0.3049 	 0.3125
[2022/05/23 07:03:49] - 48 	 1707.1 	 	 0.0310 	 1.5381 	 0.3070 	 0.2812
[2022/05/23 07:32:18] - 49 	 1708.4 	 	 0.0300 	 1.5500 	 0.2968 	 0.1875
[2022/05/23 08:00:05] - 50 	 1666.5 	 	 0.0290 	 1.5513 	 0.2961 	 0.2188
[2022/05/23 08:28:25] - 51 	 1700.4 	 	 0.0280 	 1.5594 	 0.2900 	 0.2500
[2022/05/23 08:56:46] - 52 	 1700.0 	 	 0.0270 	 1.5564 	 0.2929 	 0.2188
[2022/05/23 09:25:10] - 53 	 1703.7 	 	 0.0260 	 1.5580 	 0.2922 	 0.3750
[2022/05/23 09:52:13] - 54 	 1623.3 	 	 0.0250 	 1.5618 	 0.2905 	 0.3438
[2022/05/23 10:20:15] - 55 	 1681.4 	 	 0.0240 	 1.5543 	 0.2939 	 0.3750
