WITH DENSENET CORRECTED TO GIVE ONLY 5 OUTPUT LABELS INSTEAD OF 1000:
----------------------------------------------------------------------------


[2022/05/25 13:48:30] - Namespace(batch_size=32, data_dir='./training_data.npy', epochs=80, epsilon=8, loss_scale='1.0', lr_max=0.04, lr_min=0.0, lr_schedule='cyclic', master_weights=False, minibatch_replays=8, momentum=0.9, opt_level='O2', out_dir='train_free_output', seed=0, weight_decay=0.0005)
[2022/05/25 13:48:38] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc 	 Robust Acc
[2022/05/25 15:00:55] - 0 	 4336.5 	 	 0.0010 	 1.2553 	 0.4436 	 0.1875
[2022/05/25 16:13:05] - 1 	 4329.2 	 	 0.0020 	 0.1901 	 0.9411 	 0.1562
[2022/05/25 17:25:04] - 2 	 4318.6 	 	 0.0030 	 0.1273 	 0.9603 	 0.1250
[2022/05/25 18:37:22] - 3 	 4337.4 	 	 0.0040 	 0.0926 	 0.9716 	 0.1250
[2022/05/25 19:50:16] - 4 	 4373.0 	 	 0.0050 	 0.0776 	 0.9776 	 0.0625
[2022/05/25 21:01:37] - 5 	 4279.6 	 	 0.0060 	 0.0737 	 0.9806 	 0.0312
[2022/05/25 22:12:53] - 6 	 4275.9 	 	 0.0070 	 0.0927 	 0.9754 	 0.1562
[2022/05/25 23:24:13] - 7 	 4279.5 	 	 0.0080 	 0.6207 	 0.7442 	 0.3125
[2022/05/26 00:34:57] - 8 	 4243.8 	 	 0.0090 	 1.5009 	 0.3201 	 0.2812
[2022/05/26 01:45:43] - 9 	 4245.4 	 	 0.0100 	 1.4816 	 0.3309 	 0.1562
[2022/05/26 02:56:29] - 10 	 4245.7 	 	 0.0110 	 1.4817 	 0.3317 	 0.4375
[2022/05/26 04:07:37] - 11 	 4267.4 	 	 0.0120 	 1.4806 	 0.3333 	 0.3125
[2022/05/26 05:18:43] - 12 	 4265.1 	 	 0.0130 	 1.4856 	 0.3317 	 0.2500
[2022/05/26 06:29:42] - 13 	 4259.0 	 	 0.0140 	 1.4890 	 0.3276 	 0.3438
[2022/05/26 07:40:30] - 14 	 4246.9 	 	 0.0150 	 1.4931 	 0.3261 	 0.2500
[2022/05/26 08:51:17] - 15 	 4246.7 	 	 0.0160 	 1.4981 	 0.3236 	 0.1875
[2022/05/26 10:01:01] - 16 	 4183.6 	 	 0.0170 	 1.5012 	 0.3187 	 0.2188
