WITH LR=0.004, THE SUDDEN DROP IS NOT HAPPENING EVEN WITH FREE ADV TRAINING; CURRENTLY STOPPING TRAINING AT 25th EPOCH TO TRY WITH LARGER BATCH SIZE
------------------------------------------------------------------------------------------------------------------------------------------------------

[2022/05/26 14:28:11] - Namespace(batch_size=32, data_dir='./training_data.npy', epochs=80, epsilon=8, loss_scale='1.0', lr_max=0.004, lr_min=0.0, lr_schedule='cyclic', master_weights=False, minibatch_replays=8, momentum=0.9, opt_level='O2', out_dir='train_free_output', seed=0, weight_decay=0.0005)
[2022/05/26 14:28:13] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc 	 Robust Acc
[2022/05/26 15:16:30] - 0 	 2896.8 	 	 0.0001 	 1.8072 	 0.1367 	 0.0000
[2022/05/26 16:05:04] - 1 	 2913.4 	 	 0.0002 	 1.5202 	 0.2958 	 0.0938
[2022/05/26 16:56:20] - 2 	 3075.5 	 	 0.0003 	 0.8512 	 0.6575 	 0.0938
[2022/05/26 17:49:49] - 3 	 3208.2 	 	 0.0004 	 0.3220 	 0.8874 	 0.1875
[2022/05/26 18:42:41] - 4 	 3172.1 	 	 0.0005 	 0.2109 	 0.9296 	 0.0938
[2022/05/26 19:49:55] - 5 	 4033.2 	 	 0.0006 	 0.1654 	 0.9438 	 0.2500
[2022/05/26 21:00:18] - 6 	 4222.7 	 	 0.0007 	 0.1221 	 0.9599 	 0.1875
[2022/05/26 22:05:56] - 7 	 3937.9 	 	 0.0008 	 0.1030 	 0.9666 	 0.2188
[2022/05/26 22:55:54] - 8 	 2997.8 	 	 0.0009 	 0.0787 	 0.9754 	 0.3438
[2022/05/26 23:45:51] - 9 	 2995.8 	 	 0.0010 	 0.0822 	 0.9731 	 0.2188
[2022/05/27 00:37:02] - 10 	 3070.7 	 	 0.0011 	 0.0660 	 0.9792 	 0.2188
[2022/05/27 01:29:35] - 11 	 3151.8 	 	 0.0012 	 0.0534 	 0.9839 	 0.0625
[2022/05/27 02:22:19] - 12 	 3163.7 	 	 0.0013 	 0.0484 	 0.9860 	 0.2188
[2022/05/27 03:15:30] - 13 	 3190.5 	 	 0.0014 	 0.0440 	 0.9876 	 0.3438
[2022/05/27 04:08:26] - 14 	 3174.4 	 	 0.0015 	 0.0401 	 0.9887 	 0.1562
[2022/05/27 05:01:35] - 15 	 3189.1 	 	 0.0016 	 0.0383 	 0.9895 	 0.1250
[2022/05/27 05:54:04] - 16 	 3148.3 	 	 0.0017 	 0.0320 	 0.9917 	 0.2188
[2022/05/27 06:47:07] - 17 	 3181.9 	 	 0.0018 	 0.0293 	 0.9925 	 0.3438
[2022/05/27 07:39:38] - 18 	 3151.1 	 	 0.0019 	 0.0331 	 0.9913 	 0.2500
[2022/05/27 08:32:21] - 19 	 3161.4 	 	 0.0020 	 0.0249 	 0.9944 	 0.2500
[2022/05/27 09:24:50] - 20 	 3148.9 	 	 0.0021 	 0.0276 	 0.9935 	 0.1875
[2022/05/27 10:12:06] - 21 	 2835.4 	 	 0.0022 	 0.0254 	 0.9939 	 0.3438
[2022/05/27 10:51:39] - 22 	 2371.8 	 	 0.0023 	 0.0237 	 0.9947 	 0.1250
[2022/05/27 11:31:50] - 23 	 2411.2 	 	 0.0024 	 0.0268 	 0.9949 	 0.1875
[2022/05/27 12:13:33] - 24 	 2502.6 	 	 0.0025 	 0.0207 	 0.9960 	 0.2188
[2022/05/27 12:55:42] - 25 	 2528.2 	 	 0.0026 	 0.0265 	 0.9945 	 0.2812
