LR = 0.004, BATCH-SIZE = 128
-----------------------------------

[2022/05/27 13:03:46] - Namespace(batch_size=128, data_dir='./training_data.npy', epochs=80, epsilon=8, loss_scale='1.0', lr_max=0.004, lr_min=0.0, lr_schedule='cyclic', master_weights=False, minibatch_replays=8, momentum=0.9, opt_level='O2', out_dir='train_free_output', seed=0, weight_decay=0.0005)
[2022/05/27 13:03:47] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc 	 Robust Acc
[2022/05/27 13:20:56] - 0 	 1028.6 	 	 0.0001 	 1.9712 	 0.0758 	 0.0156
[2022/05/27 13:43:47] - 1 	 1370.9 	 	 0.0002 	 1.6375 	 0.1847 	 0.0312
[2022/05/27 14:16:16] - 2 	 1947.8 	 	 0.0003 	 1.5933 	 0.2375 	 0.0547
[2022/05/27 14:47:11] - 3 	 1855.0 	 	 0.0004 	 1.3359 	 0.3948 	 0.1875
[2022/05/27 15:17:34] - 4 	 1821.9 	 	 0.0005 	 0.8079 	 0.6790 	 0.1094
[2022/05/27 15:36:59] - 5 	 1164.6 	 	 0.0006 	 0.3973 	 0.8543 	 0.1484
[2022/05/27 15:55:21] - 6 	 1100.7 	 	 0.0007 	 0.2715 	 0.9038 	 0.0938
[2022/05/27 16:20:43] - 7 	 1521.6 	 	 0.0008 	 0.2057 	 0.9278 	 0.0859
[2022/05/27 16:50:10] - 8 	 1766.5 	 	 0.0009 	 0.1740 	 0.9403 	 0.1641
[2022/05/27 17:12:22] - 9 	 1331.4 	 	 0.0010 	 0.1449 	 0.9496 	 0.1562
[2022/05/27 17:36:33] - 10 	 1450.5 	 	 0.0011 	 0.1234 	 0.9583 	 0.1719
[2022/05/27 17:55:58] - 11 	 1164.1 	 	 0.0012 	 0.1043 	 0.9647 	 0.1953
[2022/05/27 18:13:54] - 12 	 1074.8 	 	 0.0013 	 0.0907 	 0.9692 	 0.2812
[2022/05/27 18:33:37] - 13 	 1182.9 	 	 0.0014 	 0.0837 	 0.9718 	 0.2422
[2022/05/27 18:57:50] - 14 	 1452.2 	 	 0.0015 	 0.0726 	 0.9766 	 0.2891
[2022/05/27 19:25:42] - 15 	 1671.0 	 	 0.0016 	 0.0638 	 0.9791 	 0.2266
[2022/05/27 19:54:08] - 16 	 1706.0 	 	 0.0017 	 0.0593 	 0.9804 	 0.2734
[2022/05/27 20:21:38] - 17 	 1649.5 	 	 0.0018 	 0.0538 	 0.9829 	 0.3281
[2022/05/27 20:49:11] - 18 	 1651.7 	 	 0.0019 	 0.0487 	 0.9849 	 0.2422
[2022/05/27 21:17:58] - 19 	 1727.0 	 	 0.0020 	 0.0456 	 0.9857 	 0.2812
[2022/05/27 21:45:38] - 20 	 1659.3 	 	 0.0021 	 0.0401 	 0.9876 	 0.3438
[2022/05/27 22:17:23] - 21 	 1903.8 	 	 0.0022 	 0.0364 	 0.9887 	 0.3594
[2022/05/27 22:49:14] - 22 	 1909.3 	 	 0.0023 	 0.0349 	 0.9889 	 0.3750
[2022/05/27 23:21:21] - 23 	 1924.5 	 	 0.0024 	 0.0306 	 0.9905 	 0.4062
[2022/05/27 23:52:28] - 24 	 1864.2 	 	 0.0025 	 0.0288 	 0.9915 	 0.3594
[2022/05/28 00:24:08] - 25 	 1898.4 	 	 0.0026 	 0.0311 	 0.9907 	 0.3906
[2022/05/28 00:55:24] - 26 	 1875.1 	 	 0.0027 	 0.0259 	 0.9922 	 0.3359
[2022/05/28 01:27:01] - 27 	 1895.8 	 	 0.0028 	 0.0258 	 0.9926 	 0.3281
[2022/05/28 01:58:03] - 28 	 1859.2 	 	 0.0029 	 0.0220 	 0.9938 	 0.3984
[2022/05/28 02:29:22] - 29 	 1877.6 	 	 0.0030 	 0.0238 	 0.9932 	 0.3203
[2022/05/28 03:01:03] - 30 	 1898.0 	 	 0.0031 	 0.0236 	 0.9934 	 0.3750
[2022/05/28 03:32:06] - 31 	 1862.0 	 	 0.0032 	 0.0205 	 0.9945 	 0.4219
[2022/05/28 04:03:58] - 32 	 1911.2 	 	 0.0033 	 0.0199 	 0.9945 	 0.3125
[2022/05/28 04:34:58] - 33 	 1858.8 	 	 0.0034 	 0.0196 	 0.9946 	 0.3594
[2022/05/28 05:06:28] - 34 	 1887.8 	 	 0.0035 	 0.0179 	 0.9950 	 0.3203
[2022/05/28 05:37:20] - 35 	 1851.4 	 	 0.0036 	 0.0175 	 0.9953 	 0.2969
[2022/05/28 06:09:37] - 36 	 1936.2 	 	 0.0037 	 0.0185 	 0.9953 	 0.4219
[2022/05/28 06:40:25] - 37 	 1846.1 	 	 0.0038 	 0.0165 	 0.9956 	 0.3281
[2022/05/28 07:11:19] - 38 	 1853.4 	 	 0.0039 	 0.0167 	 0.9955 	 0.3672
[2022/05/28 07:42:25] - 39 	 1864.4 	 	 0.0040 	 0.0172 	 0.9953 	 0.3438
[2022/05/28 08:13:44] - 40 	 1878.4 	 	 0.0039 	 0.0157 	 0.9959 	 0.2578
[2022/05/28 08:44:53] - 41 	 1866.8 	 	 0.0038 	 0.0167 	 0.9955 	 0.2969
[2022/05/28 09:16:30] - 42 	 1895.0 	 	 0.0037 	 0.0161 	 0.9961 	 0.3672
[2022/05/28 09:48:02] - 43 	 1891.5 	 	 0.0036 	 0.0158 	 0.9961 	 0.3438
[2022/05/28 10:19:20] - 44 	 1876.2 	 	 0.0035 	 0.0154 	 0.9960 	 0.3125
[2022/05/28 10:50:21] - 45 	 1860.3 	 	 0.0034 	 0.0162 	 0.9959 	 0.3594
[2022/05/28 11:22:33] - 46 	 1931.1 	 	 0.0033 	 0.0145 	 0.9966 	 0.3594
[2022/05/28 11:53:50] - 47 	 1875.4 	 	 0.0032 	 0.0154 	 0.9960 	 0.3516
[2022/05/28 12:26:02] - 48 	 1928.5 	 	 0.0031 	 0.0144 	 0.9963 	 0.2500
